,data_type,country,state,year,quarter,name,type,count,amount
126,aggregated,india,andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,TOTAL,14481,107525358.66652842
127,aggregated,india,andaman-&-nicobar-islands,2019,2,Merchant payments,TOTAL,4031,4702152.616619372
128,aggregated,india,andaman-&-nicobar-islands,2019,2,Financial Services,TOTAL,124,113278.91371326067
129,aggregated,india,andaman-&-nicobar-islands,2019,2,Others,TOTAL,377,671471.222589792
130,aggregated,india,andaman-&-nicobar-islands,2019,3,Recharge & bill payments,TOTAL,16219,8171737.705916681
131,aggregated,india,andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,TOTAL,13767,101079821.10344616
132,aggregated,india,andaman-&-nicobar-islands,2019,3,Merchant payments,TOTAL,3519,4428734.574846684
133,aggregated,india,andaman-&-nicobar-islands,2019,3,Financial Services,TOTAL,50,158857.94315586874
134,aggregated,india,andaman-&-nicobar-islands,2019,3,Others,TOTAL,215,232624.75992853564
135,aggregated,india,andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,TOTAL,18128,121493224.30754511
136,aggregated,india,andaman-&-nicobar-islands,2019,4,Recharge & bill payments,TOTAL,13851,9538690.916424634
137,aggregated,india,andaman-&-nicobar-islands,2019,4,Merchant payments,TOTAL,2920,5247500.487902376
138,aggregated,india,andaman-&-nicobar-islands,2019,4,Financial Services,TOTAL,60,295937.2110898865
139,aggregated,india,andaman-&-nicobar-islands,2019,4,Others,TOTAL,200,263177.5944158883
140,aggregated,india,andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,TOTAL,18324,142332401.79234773
141,aggregated,india,andaman-&-nicobar-islands,2020,1,Recharge & bill payments,TOTAL,18268,10850414.023977457
142,aggregated,india,andaman-&-nicobar-islands,2020,1,Merchant payments,TOTAL,4424,7752871.558217709
143,aggregated,india,andaman-&-nicobar-islands,2020,1,Financial Services,TOTAL,66,208231.73071652642
144,aggregated,india,andaman-&-nicobar-islands,2020,1,Others,TOTAL,216,332393.19201521645
145,aggregated,india,andaman-&-nicobar-islands,2020,2,Recharge & bill payments,TOTAL,38125,17659622.73418829
146,aggregated,india,andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,TOTAL,20303,141728757.73517442
147,aggregated,india,andaman-&-nicobar-islands,2020,2,Merchant payments,TOTAL,4004,9236375.740471343
148,aggregated,india,andaman-&-nicobar-islands,2020,2,Financial Services,TOTAL,175,706932.1397115812
149,aggregated,india,andaman-&-nicobar-islands,2020,2,Others,TOTAL,355,313313.0646014327
150,aggregated,india,andaman-&-nicobar-islands,2020,3,Recharge & bill payments,TOTAL,59310,24756220.875469353
151,aggregated,india,andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,TOTAL,40697,289078946.7312394
152,aggregated,india,andaman-&-nicobar-islands,2020,3,Merchant payments,TOTAL,16096,22682992.238478824
153,aggregated,india,andaman-&-nicobar-islands,2020,3,Financial Services,TOTAL,572,961836.7129860274
154,aggregated,india,andaman-&-nicobar-islands,2020,3,Others,TOTAL,808,539449.7721868362
155,aggregated,india,andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,TOTAL,81439,533316526.1814983
156,aggregated,india,andaman-&-nicobar-islands,2020,4,Recharge & bill payments,TOTAL,80811,33710030.534383245
157,aggregated,india,andaman-&-nicobar-islands,2020,4,Merchant payments,TOTAL,59391,56867468.940003954
158,aggregated,india,andaman-&-nicobar-islands,2020,4,Financial Services,TOTAL,965,1880546.9672370641
159,aggregated,india,andaman-&-nicobar-islands,2020,4,Others,TOTAL,1925,1508083.6917299272
160,aggregated,india,andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,TOTAL,105458,665391395.715478
161,aggregated,india,andaman-&-nicobar-islands,2021,1,Recharge & bill payments,TOTAL,84119,37160922.86506996
162,aggregated,india,andaman-&-nicobar-islands,2021,1,Merchant payments,TOTAL,53090,78606979.05751458
163,aggregated,india,andaman-&-nicobar-islands,2021,1,Financial Services,TOTAL,884,1469351.0852598653
164,aggregated,india,andaman-&-nicobar-islands,2021,1,Others,TOTAL,1201,1077918.666433228
165,aggregated,india,andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,TOTAL,132772,748382044.7707307
166,aggregated,india,andaman-&-nicobar-islands,2021,2,Recharge & bill payments,TOTAL,120911,43691961.26275121
167,aggregated,india,andaman-&-nicobar-islands,2021,2,Merchant payments,TOTAL,85143,103707408.50908463
168,aggregated,india,andaman-&-nicobar-islands,2021,2,Financial Services,TOTAL,960,2038521.5136710338
169,aggregated,india,andaman-&-nicobar-islands,2021,2,Others,TOTAL,1628,1327080.0560584562
170,aggregated,india,andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,TOTAL,192321,1077787837.1562996
171,aggregated,india,andaman-&-nicobar-islands,2021,3,Recharge & bill payments,TOTAL,136010,51243450.85925055
172,aggregated,india,andaman-&-nicobar-islands,2021,3,Merchant payments,TOTAL,118340,176991328.21761328
173,aggregated,india,andaman-&-nicobar-islands,2021,3,Financial Services,TOTAL,990,2351013.441729573
174,aggregated,india,andaman-&-nicobar-islands,2021,3,Others,TOTAL,2103,1650766.1267105162
175,aggregated,india,andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,TOTAL,285778,1544932663.2744582
176,aggregated,india,andaman-&-nicobar-islands,2021,4,Merchant payments,TOTAL,210164,322842314.62433755
177,aggregated,india,andaman-&-nicobar-islands,2021,4,Recharge & bill payments,TOTAL,135608,59243518.11464358
178,aggregated,india,andaman-&-nicobar-islands,2021,4,Financial Services,TOTAL,1718,3137965.167474068
179,aggregated,india,andaman-&-nicobar-islands,2021,4,Others,TOTAL,2855,2453640.142743944
180,aggregated,india,andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,TOTAL,342649,1682328505.7254477
181,aggregated,india,andaman-&-nicobar-islands,2022,1,Merchant payments,TOTAL,284298,370091558.68373305
182,aggregated,india,andaman-&-nicobar-islands,2022,1,Recharge & bill payments,TOTAL,163401,71300133.66101266
183,aggregated,india,andaman-&-nicobar-islands,2022,1,Financial Services,TOTAL,1757,2869682.0229511866
184,aggregated,india,andaman-&-nicobar-islands,2022,1,Others,TOTAL,2643,2440321.9820225406
185,aggregated,india,andaman-&-nicobar-islands,2022,2,Merchant payments,TOTAL,449540,510838980.9061847
186,aggregated,india,andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,TOTAL,437606,2088309073.4552848
187,aggregated,india,andaman-&-nicobar-islands,2022,2,Recharge & bill payments,TOTAL,179515,82232936.61795366
188,aggregated,india,andaman-&-nicobar-islands,2022,2,Financial Services,TOTAL,1448,2089862.3927160464
189,aggregated,india,andaman-&-nicobar-islands,2022,2,Others,TOTAL,3108,2449496.7081265687
190,aggregated,india,andaman-&-nicobar-islands,2022,3,Merchant payments,TOTAL,716105,693438186.296541
191,aggregated,india,andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,TOTAL,622217,2514535154.56483
192,aggregated,india,andaman-&-nicobar-islands,2022,3,Recharge & bill payments,TOTAL,240766,97748065.62714244
193,aggregated,india,andaman-&-nicobar-islands,2022,3,Financial Services,TOTAL,1814,2166304.9779766416
194,aggregated,india,andaman-&-nicobar-islands,2022,3,Others,TOTAL,3477,2744060.670897343
195,aggregated,india,andaman-&-nicobar-islands,2022,4,Merchant payments,TOTAL,956536,906365300.6585041
196,aggregated,india,andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,TOTAL,768758,2961630584.8271313
197,aggregated,india,andaman-&-nicobar-islands,2022,4,Recharge & bill payments,TOTAL,256050,110037119.66941178
198,aggregated,india,andaman-&-nicobar-islands,2022,4,Financial Services,TOTAL,2499,3533987.2301130476
199,aggregated,india,andaman-&-nicobar-islands,2022,4,Others,TOTAL,3692,3107412.043626394
200,aggregated,india,andhra-pradesh,2018,1,Recharge & bill payments,TOTAL,5027448,892293975.6698562
201,aggregated,india,andhra-pradesh,2018,1,Peer-to-peer payments,TOTAL,3049646,10524250283.178782
202,aggregated,india,andhra-pradesh,2018,1,Merchant payments,TOTAL,362672,247297640.24000686
203,aggregated,india,andhra-pradesh,2018,1,Financial Services,TOTAL,204305,44808449.7639544
204,aggregated,india,andhra-pradesh,2018,1,Others,TOTAL,395514,287626042.970705
205,aggregated,india,andhra-pradesh,2018,2,Recharge & bill payments,TOTAL,6456387,1598591488.4880352
206,aggregated,india,andhra-pradesh,2018,2,Peer-to-peer payments,TOTAL,4745000,20451493098.8953
207,aggregated,india,andhra-pradesh,2018,2,Merchant payments,TOTAL,604847,436785223.86032957
208,aggregated,india,andhra-pradesh,2018,2,Financial Services,TOTAL,225621,68952114.81374599
209,aggregated,india,andhra-pradesh,2018,2,Others,TOTAL,322063,328092346.575651
210,aggregated,india,andhra-pradesh,2018,3,Peer-to-peer payments,TOTAL,16129591,32738630444.668724
211,aggregated,india,andhra-pradesh,2018,3,Recharge & bill payments,TOTAL,7542005,1949098146.8941927
212,aggregated,india,andhra-pradesh,2018,3,Merchant payments,TOTAL,1225416,685277254.5076212
213,aggregated,india,andhra-pradesh,2018,3,Financial Services,TOTAL,380324,60790077.57437308
214,aggregated,india,andhra-pradesh,2018,3,Others,TOTAL,348725,284248675.5700202
215,aggregated,india,andhra-pradesh,2018,4,Peer-to-peer payments,TOTAL,17580086,47011639726.13608
216,aggregated,india,andhra-pradesh,2018,4,Recharge & bill payments,TOTAL,9767083,2418164314.470957
217,aggregated,india,andhra-pradesh,2018,4,Merchant payments,TOTAL,2622131,1671585888.568256
218,aggregated,india,andhra-pradesh,2018,4,Financial Services,TOTAL,400837,57178116.40322068
219,aggregated,india,andhra-pradesh,2018,4,Others,TOTAL,389411,315211361.26249415
220,aggregated,india,andhra-pradesh,2019,1,Peer-to-peer payments,TOTAL,37420988,77524329742.2595
221,aggregated,india,andhra-pradesh,2019,1,Recharge & bill payments,TOTAL,14022264,3480641602.3771377
222,aggregated,india,andhra-pradesh,2019,1,Merchant payments,TOTAL,5043682,2423536770.3706346
223,aggregated,india,andhra-pradesh,2019,1,Financial Services,TOTAL,416325,47150177.52982048
224,aggregated,india,andhra-pradesh,2019,1,Others,TOTAL,361263,284937624.5393019
225,aggregated,india,andhra-pradesh,2019,2,Peer-to-peer payments,TOTAL,32494402,103924649232.47021
226,aggregated,india,andhra-pradesh,2019,2,Recharge & bill payments,TOTAL,14093964,4708345387.9101095
227,aggregated,india,andhra-pradesh,2019,2,Merchant payments,TOTAL,9226537,4613405202.681959
228,aggregated,india,andhra-pradesh,2019,2,Financial Services,TOTAL,145310,26626696.771042537
229,aggregated,india,andhra-pradesh,2019,2,Others,TOTAL,448802,361492238.3966455
230,aggregated,india,andhra-pradesh,2019,3,Peer-to-peer payments,TOTAL,39023491,124338645329.51532
231,aggregated,india,andhra-pradesh,2019,3,Recharge & bill payments,TOTAL,20147629,6893984676.598906
232,aggregated,india,andhra-pradesh,2019,3,Merchant payments,TOTAL,16581787,7887394038.066369
233,aggregated,india,andhra-pradesh,2019,3,Financial Services,TOTAL,122270,29778183.027080443
234,aggregated,india,andhra-pradesh,2019,3,Others,TOTAL,413437,298142027.58625776
235,aggregated,india,andhra-pradesh,2019,4,Peer-to-peer payments,TOTAL,57181511,178893550050.68753
